Census Tract,Population 16 Years and Over:,Population 16 Years and Over: In Labor Force,Population 16 Years and Over: In Labor Force: Civilian: Employed,Population 16 Years and Over: In Labor Force: Civilian: Unemployed,Population 16 Years and Over: Not in Labor Force,Population 25 Years and Over:,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Graduate (Includes Equivalency),Population 25 Years and Over: Some College,Population 25 Years and Over: Bachelor's Degree,Population 25 Years and Over: Master's Degree,Population 25 Years and Over: Professional School Degree,Population 25 Years and Over: Doctorate Degree,Average Family Income (In 2022 Inflation Adjusted Dollars),Households:,Households: With Public Assistance Income,Households: No Public Assistance Income,Households: With Retirement Income,Households: No Retirement Income,Families: 3.00 to 3.99,Families: 4.00 to 4.99,Families: 5.00 and Over,Total:,Total: No Health Insurance Coverage,Total: With Health Insurance Coverage,Total: With Health Insurance Coverage: Public Health Coverage,Total: With Health Insurance Coverage: Private Health Insurance,Population Under 18:,Population Under 18: No Health Insurance Coverage,Population Under 18: With Health Insurance Coverage,Population 18 to 24:,Population 18 to 24: No Health Insurance Coverage,Population 18 to 24: With Health Insurance Coverage,Population 25 to 34:,Population 25 to 34: No Health Insurance Coverage,Population 25 to 34: With Health Insurance Coverage,Population 35 to 64:,Population 35 to 64: No Health Insurance Coverage,Population 35 to 64: With Health Insurance Coverage,Population 65 or Older:,Population 65 or Older: No Health Insurance Coverage,Population 65 or Older: With Health Insurance Coverage
Geo_TRACT,SE_A17002_001,SE_A17002_002,SE_A17002_005,SE_A17002_006,SE_A17002_007,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008,SE_A14011_001,SE_A10014_001,SE_A10014_002,SE_A10014_003,SE_A10015_002,SE_A10015_003,SE_D13004_004,SE_D13004_005,SE_D13004_006,SE_A20001_001,SE_A20001_002,SE_A20001_003,SE_A20001_004,SE_A20001_005,SE_A20002_002,SE_A20002_003,SE_A20002_004,SE_A20002_007,SE_A20002_008,SE_A20002_009,SE_A20002_012,SE_A20002_013,SE_A20002_014,SE_A20002_017,SE_A20002_018,SE_A20002_019,SE_A20002_022,SE_A20002_023,SE_A20002_024
605900,1946,1447,1380,67,499,1764,59,451,325,603,252,57,17,149509.7282,1046,11,1035,405,641,112,85,409,2695,169,2526,763,2250,795,39,756,144,53,91,274,15,259,981,62,919,501,0,501
606000,1591,1029,905,124,562,1398,62,178,409,482,117,32,118,204873.6626,878,15,863,246,632,25,80,335,1852,52,1800,514,1637,317,23,294,147,0,147,268,29,239,644,0,644,476,0,476
606100,1706,1151,1128,14,555,1513,6,79,102,731,285,222,88,308895.6459,820,8,812,122,698,31,43,581,2470,19,2451,314,2371,912,6,906,62,0,62,179,13,166,1051,0,1051,266,0,266
606200,3153,2313,2168,137,840,2756,55,211,297,922,706,439,126,237284.8459,1478,42,1436,359,1119,22,136,927,4206,82,4124,860,3924,1329,21,1308,148,0,148,273,49,224,1758,12,1746,698,0,698
606300,1768,1223,1199,24,545,1662,31,110,278,561,444,159,79,288999.8498,951,11,940,171,780,68,22,522,2507,10,2497,448,2327,794,0,794,71,0,71,259,0,259,1004,10,994,379,0,379
606400,2300,1566,1528,38,734,1974,31,138,160,731,408,395,111,413950.4,988,14,974,176,812,29,74,739,3231,23,3208,481,3050,1157,10,1147,150,0,150,92,0,92,1436,13,1423,396,0,396
606500,2558,1547,1365,182,1011,2313,182,850,683,195,374,5,24,124532.7824,1146,29,1117,459,687,101,131,261,3059,178,2881,1397,1980,580,57,523,244,3,241,365,42,323,1179,76,1103,691,0,691
606600,2147,1781,1547,234,366,1896,35,353,433,555,344,108,68,153291.2903,1205,3,1202,293,912,126,99,299,2487,232,2255,732,1880,361,0,361,252,0,252,525,155,370,923,77,846,426,0,426
606700,3933,2629,2561,68,1304,3591,213,1127,939,958,320,16,18,120912.7126,2172,61,2111,618,1554,204,190,656,4535,255,4280,1349,3575,705,0,705,362,1,361,572,144,428,2044,110,1934,852,0,852
606800,3356,2094,1978,116,1262,2925,500,835,782,518,252,18,20,111976.5957,1632,11,1621,445,1187,182,168,320,4114,308,3806,1313,3005,901,48,853,328,28,300,526,65,461,1617,167,1450,742,0,742
607000,3829,2373,2266,107,1456,3384,463,1662,665,473,93,18,10,84519.15612,1962,63,1899,486,1476,235,136,289,4577,337,4240,1681,3134,924,135,789,325,0,325,567,46,521,1859,156,1703,902,0,902
607100,2891,1891,1747,144,1000,2474,82,1098,604,515,169,0,6,105632.3651,1297,43,1254,377,920,210,122,298,3994,425,3569,1305,2612,1239,246,993,351,44,307,449,63,386,1516,72,1444,439,0,439
607200,3783,2677,2468,209,1106,3140,253,1083,1147,499,108,32,18,106375.1033,1867,59,1808,407,1460,159,239,281,4313,317,3996,1333,3138,704,75,629,620,88,532,714,28,686,1590,121,1469,685,5,680
607300,3500,2656,2425,198,844,3095,215,1242,624,731,198,34,51,104610.2439,1784,49,1735,448,1336,192,79,350,4309,153,4156,1488,3185,984,0,984,244,0,244,922,96,826,1451,57,1394,708,0,708
607401,2281,1604,1451,153,677,2066,97,650,855,296,148,10,10,128979.1667,1157,22,1135,245,912,44,95,353,2686,189,2497,1042,1817,480,18,462,149,0,149,427,84,343,1109,87,1022,521,0,521
607402,2217,1506,1394,112,711,1986,153,658,631,296,188,41,19,101058.0597,1111,25,1086,235,876,198,132,177,2838,100,2738,1326,1821,740,0,740,150,0,150,317,70,247,1213,30,1183,418,0,418
607502,5353,2890,2774,116,2463,4806,353,708,1120,1434,503,570,118,265709.5322,2257,0,2257,907,1350,102,152,1203,5972,63,5909,1907,5157,1516,0,1516,177,0,177,347,0,347,2170,63,2107,1762,0,1762
607503,5423,3530,3378,152,1893,4694,208,696,782,1514,980,457,57,202742.3549,2183,39,2144,608,1575,170,234,1214,6129,297,5832,1580,5022,1221,49,1172,620,80,540,522,16,506,2861,152,2709,905,0,905
607504,2897,1839,1730,109,1058,2504,32,269,366,869,463,336,169,311343.4164,1188,17,1171,340,848,56,130,878,3944,19,3925,784,3691,1325,0,1325,137,0,137,160,19,141,1672,0,1672,650,0,650
607505,3146,2119,2003,60,1027,2714,130,519,371,858,395,278,163,229165.1182,1415,0,1415,406,1009,119,91,832,3762,156,3606,900,3323,823,48,775,322,13,309,145,25,120,1625,59,1566,847,11,836
